Age,Income,Height,Pets,Hobby,RandomScore,Buy_House
46,31231,199,None,Traveling,6.702276496307164,1
62,40504,176,Cat,Gaming,8.80199076622859,0
38,100750,153,None,Gaming,-59.7853059195399,0
54,32097,179,Cat,Traveling,-16.34411257061478,1
66,97288,172,Dog,Gaming,-28.115633945998454,1
50,120948,194,Dog,Reading,-2.8158395036026977,1
58,67956,177,Cat,Traveling,-65.96201553254852,1
42,56371,197,None,Gaming,-34.34888490728773,1
63,123096,197,None,Traveling,-114.7296519586847,0
31,103832,185,None,Traveling,65.8290690569112,0
26,90815,196,None,Reading,-19.853213219507527,1
32,87595,196,None,Gaming,-38.801047199865415,1
24,82129,153,Cat,Gaming,54.01455069016908,0
19,40453,179,Dog,Reading,138.42205957799203,1
48,21329,160,Dog,Traveling,-21.262371399718603,0
24,141764,186,None,Reading,-49.470482609102845,0
58,45773,183,Dog,Traveling,40.2175487595606,0
28,57295,175,Dog,Traveling,56.99718134416489,0
30,62714,150,Cat,Gaming,-2.989224704746901,1
30,118505,179,None,Traveling,-68.25726128265221,0
43,63290,163,None,Gaming,-19.746419856940594,1
60,77206,192,None,Reading,8.091330766361358,0
67,77077,197,None,Reading,16.774869441201893,1
25,127377,195,Cat,Reading,-54.566990980873584,0
31,120534,157,Dog,Traveling,199.77030284444965,0
62,85174,165,Cat,Traveling,-17.404696618243737,1
19,53826,159,None,Traveling,-111.57292194045961,1
59,20670,176,Cat,Traveling,121.51565508388254,0
32,143568,188,None,Gaming,10.096682809967984,1
41,89436,182,None,Gaming,25.067339704950133,0
51,130759,185,Cat,Traveling,-121.34328486229448,0
21,144311,177,Cat,Traveling,31.032605494628395,0
35,117820,189,Cat,Traveling,2.693253866233759,1
42,85506,175,Cat,Gaming,145.44717365776475,1
64,70390,176,Dog,Gaming,29.967988075588497,1
41,58860,165,None,Gaming,156.863679906801,1
23,23737,150,Cat,Traveling,93.41215426303003,0
51,46421,166,Cat,Gaming,54.0334120391473,0
68,84385,196,None,Traveling,116.95642142642325,1
55,60947,151,None,Gaming,-134.1625796180638,1
20,63463,177,Dog,Reading,51.15787384692921,0
36,53027,197,None,Reading,-35.77001569969865,1
64,36072,160,None,Gaming,25.17083546060305,0
63,105762,177,Cat,Traveling,-4.957752562148771,1
53,141853,165,Dog,Reading,0.5183667370403948,1
36,67987,164,Cat,Gaming,157.00247962958292,1
45,75198,192,Cat,Traveling,91.70553026223065,1
64,142313,195,None,Traveling,-90.97535599557541,1
27,87120,196,Dog,Reading,27.772208572239084,0
35,31970,184,None,Traveling,-102.71667648985594,0
21,47957,164,None,Traveling,-1.1187547910475417,0
29,63205,196,None,Reading,1.8635145111702909,1
44,104711,195,Dog,Reading,-126.96244161838173,0
46,46902,181,None,Reading,7.446111461789457,0
29,106642,170,Dog,Gaming,152.05886843887055,1
28,38914,164,Dog,Traveling,-192.85067705387843,1
21,86870,164,None,Reading,-106.6577234049717,1
63,142949,197,Cat,Reading,-53.342416216451284,1
41,79948,184,Dog,Reading,1.221883770608455,1
43,109163,195,Dog,Reading,-12.7116243229989,1
45,93054,177,Dog,Gaming,-46.45963700944418,1
64,111683,171,Dog,Traveling,-39.164683813028255,1
21,95532,188,Cat,Traveling,2.04419158694506,0
53,124076,165,Cat,Reading,-181.91396958622832,0
32,72505,183,Cat,Gaming,-81.6272203951496,1
39,75873,156,Dog,Gaming,-1.5322623899628183,1
66,131218,174,None,Reading,152.9281847510573,1
41,60876,172,Dog,Traveling,129.4102062121968,1
41,134802,176,Cat,Gaming,-43.61640804878091,0
54,108853,180,Dog,Gaming,-2.766782869309054,1
22,82728,192,Dog,Gaming,19.083558014940404,0
23,141435,170,Cat,Traveling,-53.06829809741599,0
66,51471,152,Dog,Traveling,-167.79551522671173,0
27,101000,156,Cat,Traveling,-41.97201472848071,1
20,123625,154,Dog,Reading,-94.97606967843407,0
55,103261,166,Cat,Traveling,-84.78336762869128,1
51,30097,193,None,Gaming,74.7862165431344,1
23,87541,150,Cat,Reading,45.87274684206164,0
27,131697,189,None,Traveling,-217.4583855092667,0
33,31387,163,None,Reading,-45.13363683844083,1
46,65073,195,None,Reading,98.18330868803868,1
20,69852,191,Dog,Reading,17.804762376808412,0
28,84859,175,Cat,Traveling,-51.96472958282319,0
54,149884,179,None,Reading,-74.28892367205798,1
21,113176,178,Cat,Reading,62.41785864782198,0
66,74234,175,None,Traveling,81.38794658281154,1
21,60650,187,Cat,Reading,37.59652443938345,0
41,36700,194,Dog,Reading,-42.5579959623691,0
45,52433,196,None,Traveling,71.71271018177595,0
52,59107,164,Dog,Reading,107.39744378691942,1
55,26436,176,Cat,Reading,-10.229706104705494,0
67,91211,167,Cat,Reading,-29.708761866680454,0
41,36730,177,None,Traveling,-122.30552366948817,1
39,139399,190,None,Gaming,-89.08464344225726,1
43,38946,182,Dog,Reading,-33.62193191108284,1
35,137146,153,Cat,Reading,-141.07073196840284,0
20,114614,163,Dog,Traveling,37.51488710582185,0
63,64017,195,Cat,Reading,137.51014875118713,1
28,44180,163,Cat,Gaming,-105.01207822245942,0
26,130145,155,Dog,Gaming,-105.43796008629285,0
50,24010,175,Dog,Traveling,84.32124208897254,1
43,116450,166,Dog,Gaming,-82.20426484385497,0
53,96903,152,None,Reading,-69.22972090093876,1
21,94040,163,None,Reading,54.193655775116,0
69,126845,160,None,Reading,-90.99872805022488,1
19,70764,160,None,Reading,92.06175744153475,1
25,90535,187,None,Gaming,170.6460307885203,0
24,59378,182,None,Reading,65.98583338454358,0
53,81932,176,Cat,Reading,163.34991863565963,0
51,136658,165,None,Reading,-91.61334634549685,1
57,29944,157,Dog,Gaming,-46.05305002369302,0
36,114279,164,Dog,Gaming,-130.46260935996688,1
46,93196,173,None,Reading,21.242310365906196,0
56,131523,193,None,Reading,70.333313891302,0
23,60428,184,Cat,Gaming,86.79239835955215,0
27,98142,151,None,Traveling,225.9436732335774,1
58,96188,162,Dog,Gaming,-100.08143021659546,1
59,107904,173,Cat,Gaming,-171.08463204224918,0
22,61177,170,Dog,Reading,-20.29681862139302,0
41,28299,158,Dog,Gaming,186.70420170826176,0
58,25946,187,Cat,Reading,-29.152791753596404,1
39,34613,160,Dog,Reading,-45.70703244040963,0
43,95332,163,None,Traveling,128.77239723326826,0
68,22978,166,None,Reading,200.94458702049573,0
54,131232,182,None,Reading,142.39147594322773,0
62,76304,175,Cat,Reading,37.58250120214012,1
46,64515,155,Cat,Gaming,-40.84099049144051,0
53,73210,174,None,Reading,127.19416375697048,1
37,118224,182,None,Reading,-146.20294178176684,0
35,60596,179,None,Gaming,-35.52745040048346,1
57,120874,186,None,Traveling,-84.51941241954955,0
62,62049,186,None,Traveling,-53.898301825468245,0
58,65563,196,None,Gaming,100.55096334106939,0
32,79201,181,Cat,Reading,-194.85066359461538,1
32,65247,193,Cat,Gaming,-109.03240506041847,1
41,73514,177,None,Gaming,4.265594126446783,1
46,143272,190,Dog,Gaming,24.9556366482659,0
34,130721,158,Cat,Reading,-97.32017493623574,0
66,101379,177,None,Reading,-185.25454915702355,1
64,86550,152,Cat,Traveling,-60.055924653380565,1
42,100131,161,None,Traveling,2.5617616835102806,0
33,54126,160,None,Traveling,-146.1765232987209,1
67,71921,151,None,Traveling,102.60571355480084,1
34,66682,161,Dog,Traveling,-145.8522269035038,0
64,98199,191,None,Gaming,190.19931275956174,1
64,149912,189,None,Traveling,61.86228436861793,0
38,116349,166,None,Gaming,-4.704878901974087,0
61,114442,194,None,Traveling,-87.6179030268257,1
65,130663,153,Cat,Traveling,-41.285207734319236,1
44,48278,160,None,Reading,-16.739409222108325,0
22,141682,174,Dog,Gaming,36.42240706433068,0
39,113779,186,Cat,Traveling,-115.55811968989698,0
50,26193,196,Cat,Gaming,17.652215367496403,0
57,105419,152,None,Gaming,69.9412952255244,1
19,121662,187,None,Gaming,120.76318982793106,1
52,72956,171,Dog,Reading,31.204518306138844,0
60,84977,155,Dog,Traveling,35.908183437743915,1
36,149513,192,None,Gaming,-210.51055757354072,1
57,68468,198,Dog,Traveling,84.83502769433984,0
44,140864,169,None,Traveling,-11.995236760238193,1
57,22697,199,Cat,Reading,95.75806851001731,0
53,22892,196,Cat,Reading,28.73215013034699,0
56,29150,193,Dog,Gaming,-23.877005549947164,0
19,62431,174,None,Gaming,67.58758589820647,0
58,60845,168,None,Gaming,36.31050318783098,1
35,68144,179,Cat,Gaming,150.72398028016647,0
63,97693,171,Cat,Gaming,88.2502594628879,0
40,122197,160,Cat,Reading,95.74893012584052,0
43,39452,194,None,Reading,-62.69522364725708,1
28,53233,188,None,Reading,-110.34805737775119,1
65,111936,154,Dog,Reading,-120.36728732127686,1
18,106283,180,None,Gaming,-114.32409691363415,1
53,73110,192,Cat,Traveling,63.23017983417507,1
67,146527,158,None,Gaming,8.832456048007199,0
37,25793,176,Dog,Traveling,106.21506858894378,1
48,122088,161,Dog,Traveling,-205.13902693500842,0
25,103001,183,Dog,Gaming,83.76586710243029,0
57,38526,196,Dog,Gaming,-58.003592443329396,0
41,105343,199,Dog,Gaming,-224.12553975865194,1
37,52893,176,Dog,Reading,-160.5148762325538,1
32,33303,195,Dog,Traveling,105.58139785994933,0
47,147809,184,Dog,Gaming,29.997364091352857,1
37,71512,164,None,Gaming,-54.37237044598948,1
55,142118,188,Dog,Gaming,11.997720070118696,1
19,70867,167,Dog,Reading,-118.90139479036381,0
23,47306,191,Dog,Traveling,191.89408182955188,1
59,69153,156,None,Reading,-0.8839529169620247,0
35,125916,175,Cat,Gaming,-67.45067802428501,1
53,57212,188,None,Reading,-39.17423975254617,1
31,33713,161,Cat,Reading,-44.314285757217455,1
43,112696,150,None,Traveling,-9.710917414124589,0
51,80153,161,Dog,Reading,-149.06009003710977,1
47,28230,153,Cat,Reading,-52.02755322891508,0
24,21693,168,None,Gaming,90.71905062333697,0
47,111181,184,Dog,Gaming,116.13555747557776,1
35,28116,150,Cat,Gaming,-12.676884981017212,1
39,55515,186,Cat,Reading,-25.886594964942983,1
34,108025,161,Cat,Traveling,76.84774738132752,1
48,142555,150,None,Reading,-132.2929445870076,1
34,117658,164,Cat,Gaming,191.53373180808632,0
48,120048,166,Cat,Gaming,-55.298857037031254,0
30,112294,174,None,Traveling,219.2720244552526,1
44,147966,175,None,Reading,95.31439211630244,1
37,21919,189,None,Traveling,128.28734808429644,0
34,76202,193,Cat,Gaming,-200.03159460455623,1
46,87552,184,Dog,Traveling,-143.71439273676648,0
56,21230,165,None,Reading,-9.576040511252042,0
52,144783,197,Cat,Reading,109.80779585409526,1
25,137778,196,Dog,Gaming,92.6337776113653,0
60,136769,162,Cat,Gaming,-146.76441213201065,0
55,74379,166,None,Traveling,5.54560732200156,1
32,27599,170,Cat,Gaming,-0.8156536471277916,0
67,87569,179,None,Traveling,118.22185550864891,1
18,30785,165,None,Traveling,67.18866200665978,0
50,23151,178,Dog,Gaming,71.4842454869845,0
20,39099,174,Dog,Reading,-62.73991520510371,0
56,50204,197,Cat,Gaming,6.292977752406921,1
55,46013,151,Cat,Reading,44.566837872066976,0
65,94664,156,None,Gaming,-167.7733346498047,1
32,80710,168,Cat,Gaming,74.3447631496406,1
59,120160,165,Cat,Reading,-222.63779668660425,0
35,114420,186,None,Traveling,90.85532613044126,1
55,128929,170,Cat,Reading,68.57093101058437,1
48,149321,178,None,Reading,-40.31615032132907,0
37,86934,193,Cat,Traveling,-8.039614054346982,1
24,74378,157,Dog,Gaming,-108.55351099160619,0
54,91735,181,Dog,Reading,61.53586444246485,0
44,146569,181,Cat,Reading,73.98033513207596,0
25,120811,186,None,Traveling,-140.77810332712878,0
31,45640,161,Dog,Gaming,-179.54545580705303,0
67,148460,182,None,Traveling,-81.75304518628172,1
32,141780,178,Cat,Traveling,52.200936458617605,0
24,139525,165,None,Reading,-151.97839272670728,1
50,147928,165,Cat,Reading,98.95022590360774,1
69,49292,165,Dog,Traveling,-96.81988199996695,0
51,63021,169,None,Gaming,-20.459293808223126,1
21,26921,150,Dog,Traveling,165.08341014314382,0
18,55366,151,None,Gaming,-80.816510866587,0
58,90878,170,Cat,Traveling,84.94411145761649,1
31,130029,180,Cat,Gaming,13.388490962981091,1
48,139283,173,Cat,Reading,108.03064106818692,0
55,116246,164,None,Reading,64.49975941685537,1
67,21281,164,Dog,Traveling,5.5007993083172755,0
37,105673,165,None,Reading,29.16067582734665,1
20,43216,197,None,Traveling,-20.06872855228663,0
52,120850,186,Dog,Reading,-33.659746813146576,1
63,76996,198,Cat,Gaming,-58.095130560858635,1
50,57962,196,Cat,Gaming,0.8614651887687086,1
32,127044,156,Dog,Traveling,140.55745885871923,1
20,46847,177,Cat,Traveling,6.178146729900518,0
45,34931,193,None,Gaming,-50.513340751128155,0
44,105879,156,Dog,Gaming,66.77545895328588,1
64,57259,186,Dog,Reading,81.65170469715864,1
64,39398,181,None,Gaming,-56.65058607595973,0
50,63397,182,Cat,Traveling,27.112434931361882,1
36,140941,184,Cat,Traveling,-43.096647738308604,1
50,78741,162,Dog,Reading,-10.790675376572233,1
48,98078,188,None,Reading,-52.44045996173392,1
21,30469,186,Dog,Gaming,-74.26802672837974,1
49,47875,173,Dog,Gaming,-95.33474100880699,0
59,130591,176,Dog,Gaming,-116.4519498011007,1
45,66278,168,Dog,Reading,18.075378861958534,1
33,144575,170,Cat,Gaming,112.85779029981049,1
66,117258,160,Dog,Reading,118.47378107802014,0
60,53248,196,None,Traveling,9.79960296908922,0
45,31953,175,Dog,Reading,-10.924650522181649,0
32,129987,189,Cat,Gaming,75.90281818952093,1
65,36667,185,Dog,Traveling,101.77528451720619,0
39,46806,158,Cat,Gaming,-1.9988489666750768,0
48,48109,158,None,Traveling,-151.14839747340932,0
38,127651,180,Cat,Reading,-135.35987493767405,1
49,25041,184,Cat,Reading,-15.659842244791125,0
24,133035,152,Cat,Traveling,-13.499042638522916,0
50,52657,157,Cat,Gaming,85.10022775696272,1
25,96850,171,Dog,Traveling,-56.50400286132361,0
31,52073,160,None,Gaming,-228.0820995330592,0
42,42987,153,None,Gaming,134.12358445974533,1
49,100491,156,Cat,Reading,-105.65529943061162,1
45,70748,166,Dog,Traveling,-47.9460477201398,1
19,141281,186,Dog,Traveling,-53.372737362163434,0
34,144707,186,None,Gaming,102.39092556366273,0
44,79197,164,None,Reading,-94.85059525835484,0
19,129961,172,Cat,Gaming,-2.6468669885717535,0
25,80733,167,Dog,Reading,12.061105332581114,1
55,46987,178,Dog,Reading,58.633789288293556,0
37,134717,173,None,Reading,93.15398738891102,1
66,57435,160,Cat,Reading,-77.11116212077648,0
54,82800,176,Cat,Reading,52.53597887647076,0
38,68405,187,Dog,Traveling,61.489225122171064,1
43,83076,169,None,Traveling,-90.11966297208775,1
48,134040,166,None,Traveling,-19.039199050642896,1
37,142059,166,Cat,Reading,-162.35912241265603,1
23,96320,159,None,Traveling,151.7473169941885,1
67,57151,188,None,Traveling,102.83055386349287,1
32,80495,196,Dog,Traveling,97.2016820896038,1
18,113142,170,None,Gaming,-80.40681467801039,1
43,135737,175,None,Reading,-96.50755769775989,1
46,77486,177,Cat,Reading,-6.7522448875538394,1
19,41598,165,Dog,Gaming,-128.65362582181425,0
39,35524,162,Cat,Traveling,118.4197455195618,1
46,62313,162,None,Gaming,73.59320206196062,0
26,71963,154,Dog,Gaming,-51.70112674124873,1
58,29584,187,Dog,Traveling,37.67018375674237,0
38,134900,154,None,Reading,-4.71490250567375,1
49,28358,172,None,Traveling,37.828685947392565,1
49,110686,193,Cat,Traveling,-27.105090214628564,0
64,106326,186,None,Traveling,-121.41390850003873,1
61,86467,178,Dog,Gaming,60.93667457425994,1
57,35447,167,Dog,Gaming,-99.79167400393418,0
43,134630,152,None,Traveling,-32.985518188793385,1
65,67447,198,Dog,Gaming,-32.84103532117071,1
30,99379,199,Cat,Gaming,84.26434486148041,1
20,145931,186,Cat,Reading,78.35342282198067,1
49,94756,162,Cat,Reading,-14.029712257405787,1
50,26020,168,None,Gaming,31.33392468524463,0
50,143828,166,Dog,Gaming,237.32548166411513,0
59,127505,179,None,Gaming,13.463607648222656,0
59,100207,171,Dog,Traveling,-27.939834153423725,0
30,21456,161,None,Reading,37.613748854658574,0
60,51635,159,Dog,Traveling,9.057604193012313,1
23,140087,190,Cat,Reading,65.58604376034953,0
21,28043,153,Cat,Gaming,-52.014031510013126,0
55,34595,177,None,Traveling,-96.59858442160407,0
23,111396,179,Dog,Traveling,-32.530280098916684,0
68,67752,183,None,Traveling,-88.62617705883773,1
20,55760,154,None,Traveling,96.92256139640655,0
44,143190,156,Dog,Reading,-255.39633644643857,0
57,69938,151,Cat,Gaming,145.1475084469412,1
37,63682,171,Dog,Reading,65.73747507337544,0
35,53466,185,None,Reading,76.27248284424162,1
37,102667,173,None,Reading,-100.92287085700511,1
47,50727,183,Cat,Reading,-63.07517139412403,0
27,120955,193,None,Traveling,31.75956222577766,0
69,139575,166,Cat,Gaming,167.38243621929615,1
40,78784,175,Cat,Traveling,28.582382443482228,1
64,104883,169,Dog,Reading,112.61214509317317,0
20,46970,156,Cat,Reading,103.13412222582134,0
69,149300,190,None,Traveling,-16.787966898772677,0
67,135544,155,None,Traveling,78.64684659339125,1
26,148998,151,Dog,Traveling,-49.02004449471099,0
66,138987,185,None,Traveling,91.58528676338086,1
36,26264,185,Dog,Gaming,109.64805523884307,0
53,22302,164,Cat,Traveling,-144.4519440097365,0
57,129608,151,Dog,Reading,170.73252810568587,1
44,40314,188,Dog,Gaming,-70.25994970331624,0
59,20393,184,Cat,Gaming,33.42788835359245,1
45,135388,160,Dog,Traveling,-5.060504135904638,1
60,101024,177,Cat,Gaming,55.32386135157801,1
68,38675,186,Dog,Gaming,10.46900239498366,0
25,133326,158,Cat,Reading,-120.66859797829122,0
59,147934,152,None,Reading,28.29846276797991,1
65,106417,150,Cat,Reading,14.787436628478961,0
25,56099,188,None,Reading,-93.27029827018227,1
35,112211,171,Cat,Reading,76.33075828468738,1
38,60338,187,None,Gaming,-30.60672166159028,0
63,83660,151,Dog,Gaming,48.612549640912874,1
30,27759,194,Dog,Reading,-59.06430328721566,0
44,121737,198,Cat,Gaming,-156.59298688900319,0
64,118181,158,None,Gaming,147.73348991251544,0
57,135459,180,Dog,Reading,-41.73786288579251,1
33,84741,187,None,Gaming,110.36670729827765,1
57,75297,152,Cat,Traveling,-131.96905103672196,1
26,122590,193,Cat,Reading,-90.81401860886542,1
44,30508,172,Cat,Traveling,47.766002361093854,0
34,31395,186,None,Gaming,-20.203682059757753,0
20,133164,181,None,Gaming,72.41762540916964,0
21,120989,151,Cat,Reading,-106.52069319727741,1
57,131976,159,Cat,Reading,-34.42054520092487,1
69,95123,171,Dog,Traveling,-13.172679560402777,1
18,38575,164,None,Reading,-68.5489678016847,0
31,106352,163,None,Reading,-48.26386378574765,1
25,109134,170,None,Reading,5.297050876886882,1
24,129211,157,None,Gaming,-21.974290030436364,0
47,102542,180,Cat,Traveling,224.0684087069836,1
42,93185,185,Dog,Reading,-57.72150539843292,0
56,93173,172,Cat,Traveling,36.067977833817,1
33,63481,174,Dog,Traveling,-64.14059414279576,1
28,133725,155,Cat,Traveling,117.30179607850533,1
42,140811,181,Cat,Traveling,28.03927327567494,1
50,88153,187,Cat,Traveling,-74.2139055612846,1
69,129474,190,Cat,Reading,-44.67904597973765,1
68,78352,176,Cat,Reading,-161.56278522582792,1
65,80695,163,None,Gaming,50.843359013102386,0
38,129869,183,None,Traveling,57.959514019838956,0
69,68211,172,Cat,Traveling,1.3851379059189852,1
69,144075,169,Dog,Reading,-73.65984075470136,0
27,22239,186,None,Reading,214.633206566509,1
67,136110,172,Dog,Gaming,21.092193475096042,0
26,85227,175,Cat,Traveling,-75.50440361786582,0
18,72511,151,Dog,Reading,47.985174370383774,1
51,75129,154,Cat,Traveling,-170.70432723761004,1
48,44629,170,Dog,Gaming,-64.06761880231409,0
38,69605,199,None,Traveling,60.217932614507475,0
41,61429,193,Dog,Gaming,44.29582168267115,0
